x y z
-1.39 0.0 2.49 1.1
-1.4 0.0 2.5 1.1
-1.42 0.0 2.49 1.07
-1.44 0.0 2.48 1.04
-1.46 0.0 2.46 1.0
-1.48 0.0 2.44 0.96
-1.5 0.0 2.4 0.9
-1.4 0.0 2.4 1.0
-1.39 0.0 2.44 1.05
-1.38 0.0 2.46 1.08
-1.38 0.0 2.48 1.1
-1.39 0.0 2.49 1.1
-1.4 0.0 2.5 1.1
-1.42 0.0 2.49 1.07
-1.44 0.0 2.48 1.04
-1.46 0.0 2.46 1.0
-1.48 0.0 2.44 0.96
-1.5 0.0 2.4 0.9
-1.38 0.23 2.4 1.25
-1.37 0.23 2.44 1.29
-1.36 0.23 2.46 1.33
-1.36 0.23 2.48 1.35
-1.37 0.23 2.49 1.35
-1.39 0.23 2.5 1.34
-1.4 0.23 2.49 1.33
-1.42 0.24 2.48 1.3
-1.44 0.24 2.46 1.26
-1.46 0.24 2.44 1.22
-1.48 0.25 2.4 1.17
-1.33 0.45 2.4 1.52
-1.32 0.44 2.44 1.56
-1.31 0.44 2.46 1.59
-1.31 0.44 2.48 1.61
-1.32 0.44 2.49 1.62
-1.33 0.45 2.5 1.61
-1.35 0.45 2.49 1.6
-1.37 0.46 2.48 1.58
-1.39 0.47 2.46 1.54
-1.41 0.47 2.44 1.5
-1.42 0.48 2.4 1.45
-1.25 0.65 2.4 1.8
-1.23 0.64 2.44 1.84
-1.23 0.64 2.46 1.87
-1.23 0.64 2.48 1.89
-1.24 0.64 2.49 1.9
-1.25 0.65 2.5 1.9
-1.26 0.66 2.49 1.89
-1.28 0.67 2.48 1.87
-1.3 0.68 2.46 1.84
-1.32 0.69 2.44 1.8
-1.33 0.69 2.4 1.76
-1.13 0.83 2.4 2.1
-1.12 0.82 2.44 2.14
-1.12 0.82 2.46 2.17
-1.12 0.82 2.48 2.19
-1.13 0.83 2.49 2.2
-1.14 0.83 2.5 2.2
-1.15 0.84 2.49 2.19
-1.16 0.85 2.48 2.17
-1.18 0.87 2.46 2.15
-1.2 0.88 2.44 2.12
-1.21 0.89 2.4 2.08
-0.99 0.99 2.4 2.4
-0.98 0.98 2.44 2.44
-0.98 0.98 2.46 2.46
-0.98 0.98 2.48 2.48
-0.99 0.99 2.49 2.49
-1.0 1.0 2.5 2.5
-1.01 1.01 2.49 2.49
-1.02 1.02 2.48 2.48
-1.04 1.04 2.46 2.46
-1.05 1.05 2.44 2.44
-1.07 1.07 2.4 2.4
-0.83 1.13 2.4 2.7
-0.82 1.12 2.44 2.73
-0.82 1.12 2.46 2.76
-0.82 1.12 2.48 2.78
-0.83 1.13 2.49 2.79
-0.83 1.14 2.5 2.8
-0.84 1.15 2.49 2.8
-0.85 1.16 2.48 2.79
-0.87 1.18 2.46 2.78
-0.88 1.2 2.44 2.75
-0.89 1.21 2.4 2.72
-0.65 1.25 2.4 3.0
-0.64 1.23 2.44 3.03
-0.64 1.23 2.46 3.05
-0.64 1.23 2.48 3.07
-0.64 1.24 2.49 3.09
-0.65 1.25 2.5 3.1
-0.66 1.26 2.49 3.1
-0.67 1.28 2.48 3.1
-0.68 1.3 2.46 3.09
-0.69 1.32 2.44 3.07
-0.69 1.33 2.4 3.04
-0.45 1.33 2.4 3.28
-0.44 1.32 2.44 3.31
-0.44 1.31 2.46 3.33
-0.44 1.31 2.48 3.35
-0.44 1.32 2.49 3.37
-0.45 1.33 2.5 3.38
-0.45 1.35 2.49 3.39
-0.46 1.37 2.48 3.39
-0.47 1.39 2.46 3.38
-0.47 1.41 2.44 3.37
-0.48 1.42 2.4 3.35
-0.23 1.38 2.4 3.55
-0.23 1.37 2.44 3.58
-0.23 1.36 2.46 3.6
-0.23 1.36 2.48 3.62
-0.23 1.37 2.49 3.64
-0.23 1.39 2.5 3.65
-0.23 1.4 2.49 3.66
-0.24 1.42 2.48 3.67
-0.24 1.44 2.46 3.66
-0.24 1.46 2.44 3.65
-0.25 1.48 2.4 3.63
0.0 1.4 2.4 3.8
0.0 1.39 2.44 3.82
0.0 1.38 2.46 3.84
0.0 1.38 2.48 3.86
0.0 1.39 2.49 3.88
0.0 1.4 2.5 3.9
0.0 1.42 2.49 3.91
0.0 1.44 2.48 3.92
0.0 1.46 2.46 3.92
0.0 1.48 2.44 3.92
0.0 1.5 2.4 3.9
0.0 1.4 2.4 3.8
0.0 1.39 2.44 3.82
0.0 1.38 2.46 3.84
0.0 1.38 2.48 3.86
0.0 1.39 2.49 3.88
0.0 1.4 2.5 3.9
0.0 1.42 2.49 3.91
0.0 1.44 2.48 3.92
0.0 1.46 2.46 3.92
0.0 1.48 2.44 3.92
0.0 1.5 2.4 3.9
0.23 1.38 2.4 4.01
0.23 1.37 2.44 4.03
0.23 1.36 2.46 4.05
0.23 1.36 2.48 4.07
0.23 1.37 2.49 4.09
0.23 1.39 2.5 4.11
0.23 1.4 2.49 4.13
0.24 1.42 2.48 4.14
0.24 1.44 2.46 4.14
0.24 1.46 2.44 4.14
0.25 1.48 2.4 4.13
0.45 1.33 2.4 4.18
0.44 1.32 2.44 4.19
0.44 1.31 2.46 4.21
0.44 1.31 2.48 4.24
0.44 1.32 2.49 4.26
0.45 1.33 2.5 4.28
0.45 1.35 2.49 4.3
0.46 1.37 2.48 4.31
0.47 1.39 2.46 4.31
0.47 1.41 2.44 4.31
0.48 1.42 2.4 4.3
0.65 1.25 2.4 4.29
0.64 1.23 2.44 4.31
0.64 1.23 2.46 4.33
0.64 1.23 2.48 4.35
0.64 1.24 2.49 4.38
0.65 1.25 2.5 4.4
0.66 1.26 2.49 4.42
0.67 1.28 2.48 4.43
0.68 1.3 2.46 4.44
0.69 1.32 2.44 4.44
0.69 1.33 2.4 4.43
0.83 1.13 2.4 4.36
0.82 1.12 2.44 4.38
0.82 1.12 2.46 4.4
0.82 1.12 2.48 4.42
0.83 1.13 2.49 4.45
0.83 1.14 2.5 4.47
0.84 1.15 2.49 4.49
0.85 1.16 2.48 4.5
0.87 1.18 2.46 4.51
0.88 1.2 2.44 4.51
0.89 1.21 2.4 4.5
0.99 0.99 2.4 4.39
0.98 0.98 2.44 4.4
0.98 0.98 2.46 4.42
0.98 0.98 2.48 4.45
0.99 0.99 2.49 4.47
1.0 1.0 2.5 4.49
1.01 1.01 2.49 4.51
1.02 1.02 2.48 4.53
1.04 1.04 2.46 4.54
1.05 1.05 2.44 4.54
1.07 1.07 2.4 4.53
1.13 0.83 2.4 4.36
1.12 0.82 2.44 4.38
1.12 0.82 2.46 4.4
1.12 0.82 2.48 4.42
1.13 0.83 2.49 4.45
1.14 0.83 2.5 4.47
1.15 0.84 2.49 4.49
1.16 0.85 2.48 4.5
1.18 0.87 2.46 4.51
1.2 0.88 2.44 4.51
1.21 0.89 2.4 4.5
1.25 0.65 2.4 4.29
1.23 0.64 2.44 4.31
1.23 0.64 2.46 4.33
1.23 0.64 2.48 4.35
1.24 0.64 2.49 4.38
1.25 0.65 2.5 4.4
1.26 0.66 2.49 4.42
1.28 0.67 2.48 4.43
1.3 0.68 2.46 4.44
1.32 0.69 2.44 4.44
1.33 0.69 2.4 4.43
1.33 0.45 2.4 4.18
1.32 0.44 2.44 4.19
1.31 0.44 2.46 4.21
1.31 0.44 2.48 4.24
1.32 0.44 2.49 4.26
1.33 0.45 2.5 4.28
1.35 0.45 2.49 4.3
1.37 0.46 2.48 4.31
1.39 0.47 2.46 4.31
1.41 0.47 2.44 4.31
1.42 0.48 2.4 4.3
1.38 0.23 2.4 4.01
1.37 0.23 2.44 4.03
1.36 0.23 2.46 4.05
1.36 0.23 2.48 4.07
1.37 0.23 2.49 4.09
1.39 0.23 2.5 4.11
1.4 0.23 2.49 4.13
1.42 0.24 2.48 4.14
1.44 0.24 2.46 4.14
1.46 0.24 2.44 4.14
1.48 0.25 2.4 4.13
1.4 0.0 2.4 3.8
1.39 0.0 2.44 3.82
1.38 0.0 2.46 3.84
1.38 0.0 2.48 3.86
1.39 0.0 2.49 3.88
1.4 0.0 2.5 3.9
1.42 0.0 2.49 3.91
1.44 0.0 2.48 3.92
1.46 0.0 2.46 3.92
1.48 0.0 2.44 3.92
1.5 0.0 2.4 3.9
1.5 0.0 2.4 3.9
1.57 0.0 2.24 3.82
1.65 0.0 2.09 3.73
1.72 0.0 1.93 3.65
1.78 0.0 1.77 3.56
1.84 0.0 1.62 3.47
1.9 0.0 1.47 3.37
1.94 0.0 1.32 3.26
1.97 0.0 1.18 3.15
1.99 0.0 1.04 3.03
2.0 0.0 0.9 2.9
1.48 -0.25 2.4 3.63
1.55 -0.26 2.24 3.54
1.63 -0.27 2.09 3.44
1.7 -0.28 1.93 3.34
1.76 -0.29 1.77 3.24
1.82 -0.3 1.62 3.14
1.87 -0.31 1.47 3.03
1.91 -0.32 1.32 2.92
1.95 -0.32 1.18 2.8
1.97 -0.33 1.04 2.68
1.97 -0.33 0.9 2.55
1.42 -0.48 2.4 3.35
1.5 -0.5 2.24 3.24
1.57 -0.53 2.09 3.13
1.63 -0.55 1.93 3.01
1.69 -0.57 1.77 2.9
1.75 -0.59 1.62 2.78
1.8 -0.6 1.47 2.67
1.84 -0.62 1.32 2.55
1.87 -0.63 1.18 2.42
1.89 -0.64 1.04 2.29
1.9 -0.64 0.9 2.16
1.33 -0.69 2.4 3.04
1.4 -0.73 2.24 2.91
1.47 -0.76 2.09 2.79
1.53 -0.8 1.93 2.66
1.59 -0.83 1.77 2.54
1.64 -0.85 1.62 2.41
1.69 -0.88 1.47 2.28
1.73 -0.9 1.32 2.15
1.75 -0.91 1.18 2.02
1.77 -0.92 1.04 1.89
1.78 -0.93 0.9 1.75
1.21 -0.89 2.4 2.72
1.27 -0.94 2.24 2.58
1.33 -0.98 2.09 2.44
1.39 -1.02 1.93 2.3
1.44 -1.06 1.77 2.16
1.49 -1.1 1.62 2.02
1.53 -1.13 1.47 1.88
1.57 -1.15 1.32 1.74
1.6 -1.17 1.18 1.6
1.61 -1.18 1.04 1.47
1.62 -1.19 0.9 1.33
1.07 -1.07 2.4 2.4
1.12 -1.12 2.24 2.24
1.17 -1.17 2.09 2.09
1.22 -1.22 1.93 1.93
1.27 -1.27 1.77 1.77
1.31 -1.31 1.62 1.62
1.35 -1.35 1.47 1.47
1.38 -1.38 1.32 1.32
1.4 -1.4 1.18 1.18
1.41 -1.41 1.04 1.04
1.42 -1.42 0.9 0.9
0.89 -1.21 2.4 2.08
0.94 -1.27 2.24 1.9
0.98 -1.33 2.09 1.73
1.02 -1.39 1.93 1.56
1.06 -1.44 1.77 1.39
1.1 -1.49 1.62 1.22
1.13 -1.53 1.47 1.06
1.15 -1.57 1.32 0.91
1.17 -1.6 1.18 0.75
1.18 -1.61 1.04 0.61
1.19 -1.62 0.9 0.47
0.69 -1.33 2.4 1.76
0.73 -1.4 2.24 1.57
0.76 -1.47 2.09 1.38
0.8 -1.53 1.93 1.2
0.83 -1.59 1.77 1.01
0.85 -1.64 1.62 0.83
0.88 -1.69 1.47 0.66
0.9 -1.73 1.32 0.5
0.91 -1.75 1.18 0.34
0.92 -1.77 1.04 0.19
0.93 -1.78 0.9 0.05
0.48 -1.42 2.4 1.45
0.5 -1.5 2.24 1.25
0.53 -1.57 2.09 1.05
0.55 -1.63 1.93 0.85
0.57 -1.69 1.77 0.65
0.59 -1.75 1.62 0.46
0.6 -1.8 1.47 0.28
0.62 -1.84 1.32 0.1
0.63 -1.87 1.18 -0.07
0.64 -1.89 1.04 -0.22
0.64 -1.9 0.9 -0.36
0.25 -1.48 2.4 1.17
0.26 -1.55 2.24 0.95
0.27 -1.63 2.09 0.73
0.28 -1.7 1.93 0.52
0.29 -1.76 1.77 0.31
0.3 -1.82 1.62 0.1
0.31 -1.87 1.47 -0.09
0.32 -1.91 1.32 -0.27
0.32 -1.95 1.18 -0.44
0.33 -1.97 1.04 -0.6
0.33 -1.97 0.9 -0.75
0.0 -1.5 2.4 0.9
0.0 -1.57 2.24 0.67
0.0 -1.65 2.09 0.44
0.0 -1.72 1.93 0.21
0.0 -1.78 1.77 -0.01
0.0 -1.84 1.62 -0.22
0.0 -1.9 1.47 -0.42
0.0 -1.94 1.32 -0.62
0.0 -1.97 1.18 -0.79
0.0 -1.99 1.04 -0.96
0.0 -2.0 0.9 -1.1
0.0 -1.5 2.4 0.9
0.0 -1.57 2.24 0.67
0.0 -1.65 2.09 0.44
0.0 -1.72 1.93 0.21
0.0 -1.78 1.77 -0.01
0.0 -1.84 1.62 -0.22
0.0 -1.9 1.47 -0.42
0.0 -1.94 1.32 -0.62
0.0 -1.97 1.18 -0.79
0.0 -1.99 1.04 -0.96
0.0 -2.0 0.9 -1.1
-0.25 -1.48 2.4 0.67
-0.26 -1.55 2.24 0.43
-0.27 -1.63 2.09 0.19
-0.28 -1.7 1.93 -0.05
-0.29 -1.76 1.77 -0.28
-0.3 -1.82 1.62 -0.5
-0.31 -1.87 1.47 -0.71
-0.32 -1.91 1.32 -0.91
-0.32 -1.95 1.18 -1.09
-0.33 -1.97 1.04 -1.26
-0.33 -1.97 0.9 -1.4
-0.48 -1.42 2.4 0.5
-0.5 -1.5 2.24 0.24
-0.53 -1.57 2.09 -0.01
-0.55 -1.63 1.93 -0.25
-0.57 -1.69 1.77 -0.49
-0.59 -1.75 1.62 -0.72
-0.6 -1.8 1.47 -0.93
-0.62 -1.84 1.32 -1.14
-0.63 -1.87 1.18 -1.32
-0.64 -1.89 1.04 -1.49
-0.64 -1.9 0.9 -1.64
-0.69 -1.33 2.4 0.37
-0.73 -1.4 2.24 0.11
-0.76 -1.47 2.09 -0.14
-0.8 -1.53 1.93 -0.39
-0.83 -1.59 1.77 -0.64
-0.85 -1.64 1.62 -0.87
-0.88 -1.69 1.47 -1.09
-0.9 -1.73 1.32 -1.3
-0.91 -1.75 1.18 -1.49
-0.92 -1.77 1.04 -1.66
-0.93 -1.78 0.9 -1.81
-0.89 -1.21 2.4 0.3
-0.94 -1.27 2.24 0.03
-0.98 -1.33 2.09 -0.23
-1.02 -1.39 1.93 -0.48
-1.06 -1.44 1.77 -0.73
-1.1 -1.49 1.62 -0.97
-1.13 -1.53 1.47 -1.19
-1.15 -1.57 1.32 -1.4
-1.17 -1.6 1.18 -1.59
-1.18 -1.61 1.04 -1.76
-1.19 -1.62 0.9 -1.91
-1.07 -1.07 2.4 0.27
-1.12 -1.12 2.24 0.01
-1.17 -1.17 2.09 -0.25
-1.22 -1.22 1.93 -0.51
-1.27 -1.27 1.77 -0.76
-1.31 -1.31 1.62 -1.0
-1.35 -1.35 1.47 -1.22
-1.38 -1.38 1.32 -1.43
-1.4 -1.4 1.18 -1.62
-1.41 -1.41 1.04 -1.79
-1.42 -1.42 0.9 -1.94
-1.21 -0.89 2.4 0.3
-1.27 -0.94 2.24 0.03
-1.33 -0.98 2.09 -0.23
-1.39 -1.02 1.93 -0.48
-1.44 -1.06 1.77 -0.73
-1.49 -1.1 1.62 -0.97
-1.53 -1.13 1.47 -1.19
-1.57 -1.15 1.32 -1.4
-1.6 -1.17 1.18 -1.59
-1.61 -1.18 1.04 -1.76
-1.62 -1.19 0.9 -1.91
-1.33 -0.69 2.4 0.37
-1.4 -0.73 2.24 0.11
-1.47 -0.76 2.09 -0.14
-1.53 -0.8 1.93 -0.39
-1.59 -0.83 1.77 -0.64
-1.64 -0.85 1.62 -0.87
-1.69 -0.88 1.47 -1.09
-1.73 -0.9 1.32 -1.3
-1.75 -0.91 1.18 -1.49
-1.77 -0.92 1.04 -1.66
-1.78 -0.93 0.9 -1.81
-1.42 -0.48 2.4 0.5
-1.5 -0.5 2.24 0.24
-1.57 -0.53 2.09 -0.01
-1.63 -0.55 1.93 -0.25
-1.69 -0.57 1.77 -0.49
-1.75 -0.59 1.62 -0.72
-1.8 -0.6 1.47 -0.93
-1.84 -0.62 1.32 -1.14
-1.87 -0.63 1.18 -1.32
-1.89 -0.64 1.04 -1.49
-1.9 -0.64 0.9 -1.64
-1.48 -0.25 2.4 0.67
-1.55 -0.26 2.24 0.43
-1.63 -0.27 2.09 0.19
-1.7 -0.28 1.93 -0.05
-1.76 -0.29 1.77 -0.28
-1.82 -0.3 1.62 -0.5
-1.87 -0.31 1.47 -0.71
-1.91 -0.32 1.32 -0.91
-1.95 -0.32 1.18 -1.09
-1.97 -0.33 1.04 -1.26
-1.97 -0.33 0.9 -1.4
-1.5 0.0 2.4 0.9
-1.57 0.0 2.24 0.67
-1.65 0.0 2.09 0.44
-1.72 0.0 1.93 0.21
-1.78 0.0 1.77 -0.01
-1.84 0.0 1.62 -0.22
-1.9 0.0 1.47 -0.42
-1.94 0.0 1.32 -0.62
-1.97 0.0 1.18 -0.79
-1.99 0.0 1.04 -0.96
-2.0 0.0 0.9 -1.1
-1.5 0.0 2.4 0.9
-1.57 0.0 2.24 0.67
-1.65 0.0 2.09 0.44
-1.72 0.0 1.93 0.21
-1.78 0.0 1.77 -0.01
-1.84 0.0 1.62 -0.22
-1.9 0.0 1.47 -0.42
-1.94 0.0 1.32 -0.62
-1.97 0.0 1.18 -0.79
-1.99 0.0 1.04 -0.96
-2.0 0.0 0.9 -1.1
-1.48 0.25 2.4 1.17
-1.55 0.26 2.24 0.95
-1.63 0.27 2.09 0.73
-1.7 0.28 1.93 0.52
-1.76 0.29 1.77 0.31
-1.82 0.3 1.62 0.1
-1.87 0.31 1.47 -0.09
-1.91 0.32 1.32 -0.27
-1.95 0.32 1.18 -0.44
-1.97 0.33 1.04 -0.6
-1.97 0.33 0.9 -0.75
-1.42 0.48 2.4 1.45
-1.5 0.5 2.24 1.25
-1.57 0.53 2.09 1.05
-1.63 0.55 1.93 0.85
-1.69 0.57 1.77 0.65
-1.75 0.59 1.62 0.46
-1.8 0.6 1.47 0.28
-1.84 0.62 1.32 0.1
-1.87 0.63 1.18 -0.07
-1.89 0.64 1.04 -0.22
-1.9 0.64 0.9 -0.36
-1.33 0.69 2.4 1.76
-1.4 0.73 2.24 1.57
-1.47 0.76 2.09 1.38
-1.53 0.8 1.93 1.2
-1.59 0.83 1.77 1.01
-1.64 0.85 1.62 0.83
-1.69 0.88 1.47 0.66
-1.73 0.9 1.32 0.5
-1.75 0.91 1.18 0.34
-1.77 0.92 1.04 0.19
-1.78 0.93 0.9 0.05
-1.21 0.89 2.4 2.08
-1.27 0.94 2.24 1.9
-1.33 0.98 2.09 1.73
-1.39 1.02 1.93 1.56
-1.44 1.06 1.77 1.39
-1.49 1.1 1.62 1.22
-1.53 1.13 1.47 1.06
-1.57 1.15 1.32 0.91
-1.6 1.17 1.18 0.75
-1.61 1.18 1.04 0.61
-1.62 1.19 0.9 0.47
-1.07 1.07 2.4 2.4
-1.12 1.12 2.24 2.24
-1.17 1.17 2.09 2.09
-1.22 1.22 1.93 1.93
-1.27 1.27 1.77 1.77
-1.31 1.31 1.62 1.62
-1.35 1.35 1.47 1.47
-1.38 1.38 1.32 1.32
-1.4 1.4 1.18 1.18
-1.41 1.41 1.04 1.04
-1.42 1.42 0.9 0.9
-0.89 1.21 2.4 2.72
-0.94 1.27 2.24 2.58
-0.98 1.33 2.09 2.44
-1.02 1.39 1.93 2.3
-1.06 1.44 1.77 2.16
-1.1 1.49 1.62 2.02
-1.13 1.53 1.47 1.88
-1.15 1.57 1.32 1.74
-1.17 1.6 1.18 1.6
-1.18 1.61 1.04 1.47
-1.19 1.62 0.9 1.33
-0.69 1.33 2.4 3.04
-0.73 1.4 2.24 2.91
-0.76 1.47 2.09 2.79
-0.8 1.53 1.93 2.66
-0.83 1.59 1.77 2.54
-0.85 1.64 1.62 2.41
-0.88 1.69 1.47 2.28
-0.9 1.73 1.32 2.15
-0.91 1.75 1.18 2.02
-0.92 1.77 1.04 1.89
